State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Uttar Pradesh,AGRA,1997,Whole Year ,Sugarcane,587,22381
Uttar Pradesh,AGRA,1998,Whole Year ,Sugarcane,544,29053
Uttar Pradesh,AGRA,1999,Whole Year ,Sugarcane,444,24385
Uttar Pradesh,AGRA,2000,Whole Year ,Sugarcane,623,27856
Uttar Pradesh,AGRA,2001,Whole Year ,Sugarcane,327,17142
Uttar Pradesh,AGRA,2002,Whole Year ,Sugarcane,263,14309
Uttar Pradesh,AGRA,2003,Whole Year ,Sugarcane,194,10034
Uttar Pradesh,AGRA,2004,Kharif     ,Sugarcane,230,11424
Uttar Pradesh,AGRA,2005,Kharif     ,Sugarcane,231,11638
Uttar Pradesh,AGRA,2006,Kharif     ,Sugarcane,178,9585
Uttar Pradesh,AGRA,2007,Kharif     ,Sugarcane,247,12975
Uttar Pradesh,AGRA,2008,Kharif     ,Sugarcane,172,8797
Uttar Pradesh,AGRA,2009,Kharif     ,Sugarcane,388,16763
Uttar Pradesh,AGRA,2010,Kharif     ,Sugarcane,163,8297
Uttar Pradesh,AGRA,2011,Kharif     ,Sugarcane,206,9780
Uttar Pradesh,AGRA,2012,Kharif     ,Sugarcane,297,13470
Uttar Pradesh,AGRA,2013,Kharif     ,Sugarcane,255,12238
Uttar Pradesh,AGRA,2014,Kharif     ,Sugarcane,145,6106
Uttar Pradesh,ALIGARH,1997,Whole Year ,Sugarcane,10099,598346
Uttar Pradesh,ALIGARH,1998,Whole Year ,Sugarcane,9503,528025
Uttar Pradesh,ALIGARH,1999,Whole Year ,Sugarcane,8614,574967
Uttar Pradesh,ALIGARH,2000,Whole Year ,Sugarcane,9246,531201
Uttar Pradesh,ALIGARH,2001,Whole Year ,Sugarcane,9109,577729
Uttar Pradesh,ALIGARH,2002,Whole Year ,Sugarcane,10135,629505
Uttar Pradesh,ALIGARH,2003,Whole Year ,Sugarcane,10735,614300
Uttar Pradesh,ALIGARH,2004,Kharif     ,Sugarcane,9156,466077
Uttar Pradesh,ALIGARH,2005,Kharif     ,Sugarcane,11251,605259
Uttar Pradesh,ALIGARH,2006,Kharif     ,Sugarcane,12617,753184
Uttar Pradesh,ALIGARH,2007,Kharif     ,Sugarcane,8371,465461
Uttar Pradesh,ALIGARH,2008,Kharif     ,Sugarcane,11462,655718
Uttar Pradesh,ALIGARH,2009,Kharif     ,Sugarcane,6441,359356
Uttar Pradesh,ALIGARH,2010,Kharif     ,Sugarcane,9195,543351
Uttar Pradesh,ALIGARH,2011,Kharif     ,Sugarcane,8967,542539
Uttar Pradesh,ALIGARH,2012,Kharif     ,Sugarcane,10593,652190
Uttar Pradesh,ALIGARH,2013,Kharif     ,Sugarcane,7301,444835
