State,District_Name,Crop_Year,Season,Crop,Area,Production
Uttar Pradesh,AGRA,2004,Whole Year ,Dry chillies,109,102
Uttar Pradesh,AGRA,2005,Whole Year ,Dry chillies,105,96
Uttar Pradesh,AGRA,2006,Whole Year ,Dry chillies,100,95
Uttar Pradesh,AGRA,2007,Kharif     ,Dry chillies,57,55
Uttar Pradesh,AGRA,2008,Kharif     ,Dry chillies,79,79
Uttar Pradesh,AGRA,2009,Kharif     ,Dry chillies,90,79
Uttar Pradesh,AGRA,2010,Kharif     ,Dry chillies,348,304
Uttar Pradesh,AGRA,2011,Kharif     ,Dry chillies,135,112
Uttar Pradesh,AGRA,2012,Kharif     ,Dry chillies,695,558
Uttar Pradesh,AGRA,2013,Kharif     ,Dry chillies,213,172
Uttar Pradesh,AGRA,2014,Kharif     ,Dry chillies,350,289
Uttar Pradesh,ALIGARH,2004,Whole Year ,Dry chillies,78,73
Uttar Pradesh,ALIGARH,2005,Whole Year ,Dry chillies,55,50
Uttar Pradesh,ALIGARH,2006,Whole Year ,Dry chillies,60,57
Uttar Pradesh,ALIGARH,2007,Kharif     ,Dry chillies,46,44
Uttar Pradesh,ALIGARH,2008,Kharif     ,Dry chillies,30,30
Uttar Pradesh,ALIGARH,2009,Kharif     ,Dry chillies,54,48
Uttar Pradesh,ALIGARH,2010,Kharif     ,Dry chillies,49,43
Uttar Pradesh,ALIGARH,2011,Kharif     ,Dry chillies,48,40
Uttar Pradesh,ALIGARH,2012,Kharif     ,Dry chillies,41,33
Uttar Pradesh,ALIGARH,2013,Kharif     ,Dry chillies,27,22
Uttar Pradesh,ALIGARH,2014,Kharif     ,Dry chillies,18,15
Uttar Pradesh,ALLAHABAD,2004,Whole Year ,Dry chillies,176,165
Uttar Pradesh,ALLAHABAD,2005,Whole Year ,Dry chillies,115,105
Uttar Pradesh,ALLAHABAD,2006,Whole Year ,Dry chillies,135,128
Uttar Pradesh,ALLAHABAD,2007,Kharif     ,Dry chillies,255,246
Uttar Pradesh,ALLAHABAD,2008,Kharif     ,Dry chillies,65,65
Uttar Pradesh,ALLAHABAD,2009,Kharif     ,Dry chillies,72,64
Uttar Pradesh,ALLAHABAD,2010,Kharif     ,Dry chillies,106,93
Uttar Pradesh,ALLAHABAD,2011,Kharif     ,Dry chillies,127,105
Uttar Pradesh,ALLAHABAD,2012,Kharif     ,Dry chillies,119,96
Uttar Pradesh,ALLAHABAD,2013,Kharif     ,Dry chillies,122,99
Uttar Pradesh,ALLAHABAD,2014,Kharif     ,Dry chillies,133,110
Uttar Pradesh,AMBEDKAR NAGAR,2004,Whole Year ,Dry chillies,25,23
