State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Uttar Pradesh,AGRA,1997,Rabi       ,Peas & beans (Pulses),1210,1936
Uttar Pradesh,AGRA,1998,Rabi       ,Peas & beans (Pulses),2083,2850
Uttar Pradesh,AGRA,1999,Whole Year ,Peas & beans (Pulses),824,1683
Uttar Pradesh,AGRA,2000,Rabi       ,Peas & beans (Pulses),937,1787
Uttar Pradesh,AGRA,2001,Rabi       ,Peas & beans (Pulses),513,912
Uttar Pradesh,AGRA,2002,Rabi       ,Peas & beans (Pulses),383,638
Uttar Pradesh,AGRA,2003,Rabi       ,Peas & beans (Pulses),361,733
Uttar Pradesh,AGRA,2008,Rabi       ,Peas & beans (Pulses),78,94
Uttar Pradesh,AGRA,2009,Rabi       ,Peas & beans (Pulses),149,191
Uttar Pradesh,AGRA,2010,Rabi       ,Peas & beans (Pulses),115,274
Uttar Pradesh,AGRA,2011,Rabi       ,Peas & beans (Pulses),184,305
Uttar Pradesh,AGRA,2012,Rabi       ,Peas & beans (Pulses),99,205
Uttar Pradesh,AGRA,2013,Rabi       ,Peas & beans (Pulses),94,206
Uttar Pradesh,AGRA,2014,Rabi       ,Peas & beans (Pulses),58,26
Uttar Pradesh,ALIGARH,1997,Rabi       ,Peas & beans (Pulses),3115,4984
Uttar Pradesh,ALIGARH,1998,Rabi       ,Peas & beans (Pulses),3627,4962
Uttar Pradesh,ALIGARH,1999,Whole Year ,Peas & beans (Pulses),2817,5752
Uttar Pradesh,ALIGARH,2000,Rabi       ,Peas & beans (Pulses),2226,4245
Uttar Pradesh,ALIGARH,2001,Rabi       ,Peas & beans (Pulses),1595,2835
Uttar Pradesh,ALIGARH,2002,Rabi       ,Peas & beans (Pulses),804,1340
Uttar Pradesh,ALIGARH,2003,Rabi       ,Peas & beans (Pulses),618,1255
Uttar Pradesh,ALIGARH,2008,Rabi       ,Peas & beans (Pulses),143,173
Uttar Pradesh,ALIGARH,2009,Rabi       ,Peas & beans (Pulses),277,355
Uttar Pradesh,ALIGARH,2010,Rabi       ,Peas & beans (Pulses),187,218
Uttar Pradesh,ALIGARH,2011,Rabi       ,Peas & beans (Pulses),95,136
Uttar Pradesh,ALIGARH,2012,Rabi       ,Peas & beans (Pulses),131,196
Uttar Pradesh,ALIGARH,2013,Rabi       ,Peas & beans (Pulses),147,146
